Total tokens with passing features: 3145
Total passing features: 5349

Token                | #Features | Feature IDs
view                 |         3 | 40418, 44574, 57814
request              |         3 | 40742, 48427, 54285
message              |         3 | 41028, 52327, 54963
back                 |         3 | 44952, 52186, 62281
object               |         3 | 45800, 51406, 59916
log                  |         3 | 48762, 53367, 54803
tr                   |         3 | 56212, 59057, 61193
co                   |         3 | 56995, 62695, 62702
site                 |         2 | 245, 51905
yet                  |         2 | 249, 33430
ant                  |         2 | 387, 60028
under                |         2 | 659, 36876
press                |         2 | 728, 64049
very                 |         2 | 1051, 16228
head                 |         2 | 1063, 14873
big                  |         2 | 1131, 13939
success              |         2 | 1269, 40079
experience           |         2 | 1669, 8474
put                  |         2 | 1784, 40073
team                 |         2 | 1919, 18673
inequality           |         2 | 2130, 61517
properties           |         2 | 2160, 3668
word                 |         2 | 2348, 41470
python               |         2 | 2528, 46145
cap                  |         2 | 2543, 58283
js                   |         2 | 2615, 19579
open                 |         2 | 2770, 15981
car                  |         2 | 2886, 58095
key                  |         2 | 2893, 57559
pseudo               |         2 | 2948, 30779
full                 |         2 | 3015, 41859
capital              |         2 | 3046, 49807
family               |         2 | 3368, 65311
done                 |         2 | 3382, 42533
age                  |         2 | 3443, 60314
mc                   |         2 | 3483, 36771
mean                 |         2 | 3898, 42936
mm                   |         2 | 4058, 10990
house                |         2 | 4149, 16888
am                   |         2 | 4497, 37766
images               |         2 | 4646, 8617
hat                  |         2 | 4648, 21712
select               |         2 | 4678, 51779
hope                 |         2 | 4791, 61406
apache               |         2 | 4818, 17011
were                 |         2 | 4825, 41474
lambda               |         2 | 5306, 35468
des                  |         2 | 5434, 10357
how                  |         2 | 5682, 30831
px                   |         2 | 5683, 52088
ref                  |         2 | 5930, 9313
basis                |         2 | 5946, 22427
match                |         2 | 6241, 26700
those                |         2 | 6545, 39418
de                   |         2 | 6628, 55974
shrimp               |         2 | 6907, 43926
court                |         2 | 6972, 7534
const                |         2 | 7071, 23778
likely               |         2 | 7230, 52511
q                    |         2 | 7436, 31924
normal               |         2 | 7616, 33717
file                 |         2 | 7665, 24142
ui                   |         2 | 7799, 45896
act                  |         2 | 7958, 34193
ac                   |         2 | 7971, 33639
should               |         2 | 8055, 49415
ns                   |         2 | 8154, 57550
def                  |         2 | 8649, 20356
update               |         2 | 8762, 9468
default              |         2 | 8863, 20603
jacob                |         2 | 9043, 28625
worth                |         2 | 9058, 14960
eu                   |         2 | 9144, 49323
his                  |         2 | 9340, 15067
great                |         2 | 9423, 60265
once                 |         2 | 9565, 45781
utils                |         2 | 9719, 20087
cross                |         2 | 9752, 15187
future               |         2 | 9785, 29901
mo                   |         2 | 9931, 51154
ngx                  |         2 | 10170, 23957
sigma                |         2 | 10181, 39575
process              |         2 | 10196, 63426
both                 |         2 | 10203, 56911
char                 |         2 | 10286, 13191
important            |         2 | 10429, 58847
show                 |         2 | 10483, 51340
visit                |         2 | 10491, 50863
page                 |         2 | 10501, 11915
post                 |         2 | 10523, 61285
o                    |         2 | 10540, 62311
order                |         2 | 10604, 23035
pl                   |         2 | 10722, 53285
often                |         2 | 10751, 43266
introduction         |         2 | 10881, 16727
hi                   |         2 | 10988, 48602
say                  |         2 | 11352, 45219
national             |         2 | 11471, 63492
init                 |         2 | 11847, 58561
items                |         2 | 12021, 25579
break                |         2 | 12100, 12424
net                  |         2 | 12127, 47568
io                   |         2 | 12153, 20992
better               |         2 | 12299, 35347
yang                 |         2 | 12307, 63189
discussion           |         2 | 12440, 17344
look                 |         2 | 12522, 17235
proof                |         2 | 12540, 18607
ep                   |         2 | 12611, 42942
baseball             |         2 | 13005, 60743
display              |         2 | 13125, 58646
extends              |         2 | 13195, 52628
info                 |         2 | 13197, 50534
size                 |         2 | 13634, 46260
etc                  |         2 | 13822, 31608
love                 |         2 | 14270, 43175
append               |         2 | 14495, 58365
photo                |         2 | 14656, 49402
results              |         2 | 14918, 17356
load                 |         2 | 14924, 43584
phi                  |         2 | 15043, 65081
mar                  |         2 | 15069, 18877
points               |         2 | 15079, 64221
service              |         2 | 15165, 16000
support              |         2 | 15214, 18128
hand                 |         2 | 15750, 24673
f                    |         2 | 15787, 31266
ab                   |         2 | 15879, 35435
cm                   |         2 | 15973, 53332
question             |         2 | 16523, 18334
nothing              |         2 | 16600, 23531
school               |         2 | 16751, 26712
image                |         2 | 16914, 52452
ml                   |         2 | 17144, 28186
db                   |         2 | 17192, 63388
sur                  |         2 | 17237, 45386
really               |         2 | 17325, 46128
note                 |         2 | 17403, 57039
global               |         2 | 17608, 46956
func                 |         2 | 17632, 49581
progressive          |         2 | 17804, 40989
had                  |         2 | 17914, 23637
boolean              |         2 | 17946, 31830
ar                   |         2 | 17983, 35369
sql                  |         2 | 18093, 29415
me                   |         2 | 18268, 28113
near                 |         2 | 18336, 50033
its                  |         2 | 18375, 21128
action               |         2 | 18439, 53416
air                  |         2 | 18474, 59275
arena                |         2 | 18593, 25096
close                |         2 | 18605, 27803
course               |         2 | 18627, 63422
city                 |         2 | 18992, 47503
omega                |         2 | 19078, 64707
ra                   |         2 | 19214, 38517
edit                 |         2 | 19448, 40521
laura                |         2 | 19484, 24030
tyler                |         2 | 19500, 55371
override             |         2 | 19704, 64601
ga                   |         2 | 20023, 34899
std                  |         2 | 20196, 44961
must                 |         2 | 20232, 46900
area                 |         2 | 20554, 22760
sort                 |         2 | 20594, 27766
copyright            |         2 | 20595, 23469
str                  |         2 | 20610, 53932
lt                   |         2 | 20618, 49925
pm                   |         2 | 21271, 21896
county               |         2 | 21312, 42805
org                  |         2 | 21416, 33749
property             |         2 | 21639, 53530
been                 |         2 | 22003, 44652
background           |         2 | 22274, 27287
merchantability      |         2 | 22527, 23749
difference           |         2 | 22802, 26171
talk                 |         2 | 22808, 26275
dest                 |         2 | 22952, 29603
best                 |         2 | 23071, 61128
believe              |         2 | 23074, 36171
sm                   |         2 | 23077, 28739
web                  |         2 | 23353, 45124
people               |         2 | 23441, 56073
oh                   |         2 | 23454, 38084
internal             |         2 | 23686, 57012
ensuremath           |         2 | 23818, 58318
mit                  |         2 | 23878, 38273
lot                  |         2 | 23902, 43297
red                  |         2 | 24185, 57041
ka                   |         2 | 24365, 34283
related              |         2 | 24526, 42425
children             |         2 | 24736, 36098
namespace            |         2 | 24741, 64152
terms                |         2 | 24949, 30086
below                |         2 | 25081, 25894
search               |         2 | 25348, 32201
margin               |         2 | 25419, 47899
catch                |         2 | 25915, 34671
pr                   |         2 | 26077, 54412
double               |         2 | 26093, 44600
phys                 |         2 | 26591, 52039
common               |         2 | 26865, 38365
mr                   |         2 | 26967, 44345
source               |         2 | 27211, 35043
ba                   |         2 | 27502, 45539
dev                  |         2 | 27533, 41251
check                |         2 | 27568, 57693
always               |         2 | 27799, 41204
rick                 |         2 | 28062, 60391
click                |         2 | 28519, 65165
around               |         2 | 28533, 64283
advantage            |         2 | 28743, 48815
pro                  |         2 | 28835, 36255
